TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,327,11,44,3.0549494
2,46,143,97,5.0364518
3,329,148,179,1.5458686
4,228,293,65,4.1538848
5,36,349,47,1.1236359
6,101,80,21,0.8578845
7,197,194,3,0.6033141
8,345,253,92,4.8632417
9,348,227,121,1.5137881
10,57,53,4,0.3929662
11,350,308,42,0.4554403
12,345,151,166,0.5190981
13,175,211,36,0.6728278
14,289,251,38,0.8561692
15,52,43,9,0.4981271
16,152,136,16,0.8987887
17,330,206,124,0.4748462
18,286,273,13,0.5961909
19,346,48,62,0.450262
20,237,52,175,1.0547388
