# Sound Localization Test - Session Results
# Subject: TESTESTEST
# Date: 2026-04-20 10:52:39
# Stimulus: 250 Hz
# Mode: Continuous Panning
# Description: 
# Mean Angular Error: 55.1 deg
# Mean Response Time: 1.05 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,294,137,157.0000,3.3054
2,327,9,42.0000,1.2694
3,46,71,25.0000,1.2996
4,329,359,30.0000,1.1537
5,228,259,31.0000,1.7668
6,36,14,22.0000,0.8950
7,101,322,139.0000,1.3132
8,197,90,107.0000,1.0328
9,345,4,19.0000,1.0769
10,348,297,51.0000,0.7629
11,57,52,5.0000,0.7838
12,350,289,61.0000,0.6225
13,345,60,75.0000,0.5988
14,175,208,33.0000,0.5303
15,289,283,6.0000,0.5222
16,52,153,101.0000,0.5134
17,152,128,24.0000,0.6344
18,330,28,58.0000,0.7751
19,286,327,41.0000,1.2326
20,346,61,75.0000,0.8585
