TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,294,9,75,4.2641567
2,327,64,97,1.0136658
3,46,174,128,1.5377578
4,329,217,112,0.204144
5,228,244,16,4.5761374
6,36,1,35,1.4131946
7,101,34,67,1.7521971
8,197,311,114,1.1195638
9,345,256,89,1.0679371
10,348,268,80,3.5226141
11,57,66,9,3.9055031
12,350,46,56,1.6095836
13,345,20,35,0.9275785
14,175,226,51,0.7454821
15,289,231,58,0.8792213
16,52,266,146,2.8254025
17,152,269,117,0.549058
18,330,275,55,1.3139622
19,286,47,121,0.7249312
20,346,223,123,6.8247157
