# Sound Localization Test - Session Results
# Subject: Wynn_4.25.26
# Date: 2026-04-25 21:14:14
# Stimulus: Gaussian Noise
# Mode: Discrete Speakers
# Description: First Auditory Test
# Accuracy: 100.0%
# Mean Angular Error: 0.0 deg
# Mean Response Time: 1.50 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,3,3,0.0000,3.8883
2,5,5,0.0000,3.6221
3,4,4,0.0000,1.4789
4,1,1,0.0000,1.7324
5,4,4,0.0000,1.5158
6,3,3,0.0000,2.0868
7,2,2,0.0000,1.0087
8,2,2,0.0000,1.2185
9,2,2,0.0000,1.1183
10,6,6,0.0000,1.4566
11,4,4,0.0000,1.3952
12,1,1,0.0000,1.1665
13,3,3,0.0000,1.7469
14,5,5,0.0000,1.6231
15,3,3,0.0000,2.0184
16,4,4,0.0000,1.2220
17,4,4,0.0000,1.2146
18,3,3,0.0000,1.2203
19,6,6,0.0000,1.7008
20,3,3,0.0000,1.3860
21,3,3,0.0000,0.9490
22,5,5,0.0000,3.5323
23,2,2,0.0000,1.0219
24,6,6,0.0000,1.2754
25,2,2,0.0000,1.2172
26,4,4,0.0000,1.5361
27,6,6,0.0000,1.3670
28,4,4,0.0000,1.1335
29,2,2,0.0000,1.0689
30,1,1,0.0000,1.1602
31,4,4,0.0000,1.2279
32,5,5,0.0000,1.5578
33,4,4,0.0000,2.0669
34,1,1,0.0000,1.1571
35,5,5,0.0000,1.7092
36,1,1,0.0000,1.2770
37,3,3,0.0000,1.2399
38,3,3,0.0000,1.1956
39,2,2,0.0000,1.1515
40,1,1,0.0000,1.1033
41,6,6,0.0000,1.3393
42,2,2,0.0000,1.2092
43,4,4,0.0000,1.1865
44,6,6,0.0000,1.2081
45,1,1,0.0000,1.2864
46,4,4,0.0000,1.1585
47,6,6,0.0000,2.5614
48,2,2,0.0000,1.1175
49,4,4,0.0000,1.0104
50,3,3,0.0000,1.2879
