# Sound Localization Test - Session Results
# Subject: Wynn_4.25.26
# Date: 2026-04-25 21:54:21
# Stimulus: 500 Hz
# Mode: Continuous Panning
# Description: First Auditory Test
# Mean Angular Error: 62.1 deg
# Mean Response Time: 1.20 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,294,304,10.0000,2.7469
2,165,20,145.0000,1.3338
3,255,277,22.0000,1.3233
4,105,35,70.0000,1.2995
5,318,5,47.0000,1.3634
6,330,347,17.0000,1.3275
7,135,58,77.0000,0.9384
8,293,170,123.0000,1.4587
9,346,359,13.0000,1.8284
10,293,279,14.0000,1.3176
11,355,359,4.0000,1.3369
12,320,279,41.0000,1.2641
13,218,242,24.0000,1.1156
14,123,62,61.0000,1.0660
15,82,46,36.0000,1.4662
16,225,306,81.0000,1.1870
17,353,1,8.0000,0.9025
18,359,13,14.0000,0.8066
19,320,342,22.0000,1.3388
20,295,307,12.0000,1.3033
21,214,243,29.0000,0.9490
22,288,169,119.0000,0.7251
23,340,44,64.0000,0.8815
24,213,1,148.0000,1.1307
25,223,309,86.0000,1.8025
26,208,268,60.0000,0.9445
27,190,16,174.0000,1.0619
28,164,21,143.0000,1.2887
29,289,240,49.0000,1.2514
30,6,353,13.0000,1.2766
31,287,298,11.0000,1.2154
32,335,329,6.0000,1.0467
33,244,296,52.0000,1.1415
34,155,357,158.0000,1.1052
35,156,86,70.0000,1.0449
36,237,241,4.0000,0.8548
37,168,1,167.0000,1.0538
38,349,348,1.0000,0.9523
39,208,286,78.0000,1.0717
40,234,220,14.0000,0.9325
41,303,179,124.0000,1.3635
42,74,62,12.0000,0.7823
43,232,258,26.0000,1.9100
44,156,51,105.0000,1.3752
45,307,196,111.0000,0.9897
46,18,3,15.0000,1.0251
47,134,58,76.0000,1.1621
48,31,181,150.0000,1.1987
49,124,293,169.0000,0.8766
50,97,66,31.0000,0.7261
