# Sound Localization Test - Session Results
# Subject: Wynn_4.25.26
# Date: 2026-04-25 22:00:57
# Stimulus: 500 Hz
# Mode: Discrete Speakers
# Description: First Auditory Test
# Accuracy: 58.0%
# Mean Angular Error: 31.2 deg
# Mean Response Time: 1.48 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,6,6,0.0000,2.3435
2,1,1,0.0000,1.2860
3,5,5,0.0000,1.3119
4,3,2,60.0000,1.2030
5,2,2,0.0000,1.1285
6,6,6,0.0000,1.4941
7,6,5,60.0000,1.2795
8,4,4,0.0000,2.2454
9,5,6,60.0000,1.1308
10,5,6,60.0000,2.5228
11,4,1,180.0000,2.0603
12,6,6,0.0000,1.2951
13,3,2,60.0000,1.4058
14,1,1,0.0000,1.2244
15,5,6,60.0000,1.4574
16,5,6,60.0000,2.0791
17,1,1,0.0000,1.7256
18,5,5,0.0000,1.9633
19,6,6,0.0000,1.2991
20,1,1,0.0000,1.4862
21,5,6,60.0000,1.8947
22,2,2,0.0000,1.1897
23,3,3,0.0000,1.3710
24,3,3,0.0000,1.3247
25,5,5,0.0000,1.9631
26,6,6,0.0000,1.8089
27,6,1,60.0000,1.3152
28,3,2,60.0000,0.8847
29,6,6,0.0000,1.5186
30,1,1,0.0000,2.0979
31,5,6,60.0000,1.2076
32,3,3,0.0000,0.8668
33,2,2,0.0000,1.1218
34,1,1,0.0000,1.2397
35,2,2,0.0000,1.3936
36,1,1,0.0000,1.5674
37,6,6,0.0000,1.2014
38,4,1,180.0000,1.3263
39,1,1,0.0000,1.2275
40,5,4,60.0000,2.8184
41,1,1,0.0000,1.1258
42,3,2,60.0000,0.9506
43,3,2,60.0000,1.3982
44,4,6,120.0000,1.5448
45,6,5,60.0000,1.2270
46,6,5,60.0000,1.4068
47,4,4,0.0000,1.3620
48,6,6,0.0000,1.2196
49,6,5,60.0000,1.3930
50,3,2,60.0000,1.2100
