# Sound Localization Test - Session Results
# Subject: Wynn_4.26.26
# Date: 2026-04-26 16:09:11
# Stimulus: 500 Hz
# Mode: Discrete Speakers
# Description: Day 2 Auditory Test 
# Accuracy: 44.0%
# Mean Angular Error: 42.0 deg
# Mean Response Time: 1.53 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,5,5,0.0000,2.7547
2,6,5,60.0000,1.8689
3,1,1,0.0000,2.1296
4,6,5,60.0000,1.4693
5,4,5,60.0000,1.6658
6,1,6,60.0000,2.2384
7,2,2,0.0000,1.2859
8,4,3,60.0000,1.6572
9,6,4,120.0000,1.3789
10,6,5,60.0000,1.1799
11,1,1,0.0000,1.4892
12,6,5,60.0000,2.1401
13,6,5,60.0000,1.3280
14,3,2,60.0000,1.3732
15,5,5,0.0000,1.7176
16,1,1,0.0000,1.3977
17,3,2,60.0000,1.7176
18,6,5,60.0000,1.9805
19,5,6,60.0000,1.4755
20,6,6,0.0000,1.4940
21,4,6,120.0000,1.6161
22,1,3,120.0000,1.4652
23,6,2,120.0000,1.5599
24,6,5,60.0000,1.0494
25,5,6,60.0000,1.4524
26,5,5,0.0000,1.5426
27,5,5,0.0000,1.4793
28,3,3,0.0000,1.5737
29,4,4,0.0000,1.5667
30,2,2,0.0000,1.0187
31,5,5,0.0000,1.3245
32,1,6,60.0000,1.2794
33,2,2,0.0000,1.3724
34,1,1,0.0000,1.1172
35,1,4,180.0000,2.0739
36,5,5,0.0000,1.5462
37,5,5,0.0000,1.2913
38,2,2,0.0000,1.1394
39,6,5,60.0000,1.4857
40,1,6,60.0000,1.1259
41,3,2,60.0000,1.7296
42,3,2,60.0000,1.2208
43,5,5,0.0000,1.4805
44,5,5,0.0000,1.5440
45,2,2,0.0000,1.4917
46,3,4,60.0000,1.5684
47,3,2,60.0000,1.6509
48,4,6,120.0000,1.2319
49,5,5,0.0000,1.2753
50,5,4,60.0000,1.4764
