# Sound Localization Test - Session Results
# Subject: fredsa
# Date: 2026-04-22 16:27:59
# Stimulus: 125 Hz
# Mode: Discrete Speakers
# Description: 
# Accuracy: 20.0%
# Mean Angular Error: 75.0 deg
# Mean Response Time: 0.01 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,5,1,120.0000,0.1199
2,6,1,60.0000,0.0081
3,1,1,0.0000,0.0063
4,6,1,60.0000,0.0056
5,4,1,180.0000,0.0153
6,1,1,0.0000,0.0028
7,2,1,60.0000,0.0024
8,4,1,180.0000,0.0025
9,6,1,60.0000,0.0025
10,6,1,60.0000,0.0024
11,1,1,0.0000,0.0025
12,6,1,60.0000,0.0024
13,6,1,60.0000,0.0024
14,3,1,120.0000,0.0031
15,5,1,120.0000,0.0024
16,1,1,0.0000,0.0024
17,3,1,120.0000,0.0027
18,6,1,60.0000,0.0025
19,5,1,120.0000,0.0029
20,6,1,60.0000,0.0030
