# Sound Localization Test - Session Results
# Subject: grasergsa
# Date: 2026-04-22 16:30:06
# Stimulus: 125 Hz
# Mode: Continuous Panning
# Description: 
# Mean Angular Error: 71.2 deg
# Mean Response Time: 0.03 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,237,1,124.0000,0.0067
2,13,1,12.0000,0.1463
3,306,1,55.0000,0.0326
4,337,1,24.0000,0.0274
5,245,1,116.0000,0.0266
6,273,1,88.0000,0.0264
7,268,1,93.0000,0.0261
8,142,1,141.0000,0.0261
9,236,1,125.0000,0.0263
10,62,1,61.0000,0.0253
11,255,1,106.0000,0.0260
12,12,1,11.0000,0.0258
13,100,1,99.0000,0.0258
14,17,1,16.0000,0.0254
15,35,1,34.0000,0.0262
16,297,1,64.0000,0.0254
17,251,1,110.0000,0.0254
18,115,1,114.0000,0.0255
19,343,1,18.0000,0.0261
20,13,1,12.0000,0.0266
