# Sound Localization Test - Session Results
# Subject: testeszt
# Date: 2026-04-19 15:24:38
# Stimulus: 125 Hz
# Mode: Discrete Speakers
# Description: test
# Accuracy: 45.0%
# Mean Angular Error: 60.0 deg
# Mean Response Time: 2.18 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,5,2,180.0000,2.9472
2,6,6,0.0000,1.1675
3,1,1,0.0000,6.7870
4,6,3,180.0000,1.1997
5,4,6,120.0000,0.6399
6,1,1,0.0000,5.3960
7,2,2,0.0000,1.5715
8,4,4,0.0000,0.3708
9,6,5,60.0000,0.5674
10,6,6,0.0000,0.5607
11,1,1,0.0000,8.7971
12,6,2,120.0000,4.8656
13,6,3,180.0000,1.3329
14,3,4,60.0000,0.6727
15,5,6,60.0000,0.6984
16,1,1,0.0000,2.1982
17,3,3,0.0000,1.8436
18,6,4,120.0000,0.7548
19,5,6,60.0000,0.6950
20,6,5,60.0000,0.6118
