# Sound Localization Test - Session Results
# Subject: testet
# Date: 2026-04-19 15:54:27
# Stimulus: 250 Hz
# Mode: Continuous Panning
# Description: terwfdes
# Mean Angular Error: 61.7 deg
# Mean Response Time: 1.26 s
TrialNumber,StimulusLocation,Response,AngularError_deg,ResponseTime_s
1,294,147,147.0000,3.1164
2,327,7,40.0000,2.0533
3,46,3,43.0000,1.2075
4,329,19,50.0000,1.5066
5,228,190,38.0000,1.0111
6,36,21,15.0000,1.1952
7,101,322,139.0000,1.4839
8,197,156,41.0000,0.9909
9,345,21,36.0000,1.2201
10,348,90,102.0000,0.8777
11,57,318,99.0000,0.9494
12,350,31,41.0000,0.9449
13,345,22,37.0000,2.7656
14,175,98,77.0000,1.3676
15,289,238,51.0000,0.5380
16,52,34,18.0000,0.9001
17,152,146,6.0000,0.6810
18,330,27,57.0000,0.8784
19,286,134,152.0000,0.7530
20,346,301,45.0000,0.7746
